date_id,date_num,date,year_month_number,calendar_quarter,month_num,month_name
20200101,20200101,2020-01-01,202001,Qtr 4,1,January
20200102,20200102,2020-01-02,202001,Qtr 4,1,January
20200103,20200103,2020-01-03,202001,Qtr 4,1,January
20200104,20200104,2020-01-04,202001,Qtr 4,1,January
20200105,20200105,2020-01-05,202001,Qtr 4,1,January
20200106,20200106,2020-01-06,202001,Qtr 4,1,January
20200107,20200107,2020-01-07,202001,Qtr 4,1,January
20200108,20200108,2020-01-08,202001,Qtr 4,1,January
20200109,20200109,2020-01-09,202001,Qtr 4,1,January
20200110,20200110,2020-01-10,202001,Qtr 4,1,January
20200111,20200111,2020-01-11,202001,Qtr 4,1,January
20200112,20200112,2020-01-12,202001,Qtr 4,1,January
20200113,20200113,2020-01-13,202001,Qtr 4,1,January
20200114,20200114,2020-01-14,202001,Qtr 4,1,January
20200115,20200115,2020-01-15,202001,Qtr 4,1,January
20200116,20200116,2020-01-16,202001,Qtr 4,1,January
20200117,20200117,2020-01-17,202001,Qtr 4,1,January
20200118,20200118,2020-01-18,202001,Qtr 4,1,January
20200119,20200119,2020-01-19,202001,Qtr 4,1,January
20200120,20200120,2020-01-20,202001,Qtr 4,1,January
20200121,20200121,2020-01-21,202001,Qtr 4,1,January
20200122,20200122,2020-01-22,202001,Qtr 4,1,January
20200123,20200123,2020-01-23,202001,Qtr 4,1,January
20200124,20200124,2020-01-24,202001,Qtr 4,1,January
20200125,20200125,2020-01-25,202001,Qtr 4,1,January
20200126,20200126,2020-01-26,202001,Qtr 4,1,January
20200127,20200127,2020-01-27,202001,Qtr 4,1,January
20200128,20200128,2020-01-28,202001,Qtr 4,1,January
20200129,20200129,2020-01-29,202001,Qtr 4,1,January
20200130,20200130,2020-01-30,202001,Qtr 4,1,January
20200131,20200131,2020-01-31,202001,Qtr 4,1,January
20200201,20200201,2020-02-01,202002,Qtr 1,2,February
20200202,20200202,2020-02-02,202002,Qtr 1,2,February
20200203,20200203,2020-02-03,202002,Qtr 1,2,February
20200204,20200204,2020-02-04,202002,Qtr 1,2,February
20200205,20200205,2020-02-05,202002,Qtr 1,2,February
20200206,20200206,2020-02-06,202002,Qtr 1,2,February
20200207,20200207,2020-02-07,202002,Qtr 1,2,February
20200208,20200208,2020-02-08,202002,Qtr 1,2,February
20200209,20200209,2020-02-09,202002,Qtr 1,2,February
20200210,20200210,2020-02-10,202002,Qtr 1,2,February
20200211,20200211,2020-02-11,202002,Qtr 1,2,February
20200212,20200212,2020-02-12,202002,Qtr 1,2,February
20200213,20200213,2020-02-13,202002,Qtr 1,2,February
20200214,20200214,2020-02-14,202002,Qtr 1,2,February
20200215,20200215,2020-02-15,202002,Qtr 1,2,February
20200216,20200216,2020-02-16,202002,Qtr 1,2,February
20200217,20200217,2020-02-17,202002,Qtr 1,2,February
20200218,20200218,2020-02-18,202002,Qtr 1,2,February
20200219,20200219,2020-02-19,202002,Qtr 1,2,February
20200220,20200220,2020-02-20,202002,Qtr 1,2,February
20200221,20200221,2020-02-21,202002,Qtr 1,2,February
20200222,20200222,2020-02-22,202002,Qtr 1,2,February
20200223,20200223,2020-02-23,202002,Qtr 1,2,February
20200224,20200224,2020-02-24,202002,Qtr 1,2,February
20200225,20200225,2020-02-25,202002,Qtr 1,2,February
20200226,20200226,2020-02-26,202002,Qtr 1,2,February
20200227,20200227,2020-02-27,202002,Qtr 1,2,February
20200228,20200228,2020-02-28,202002,Qtr 1,2,February
20200229,20200229,2020-02-29,202002,Qtr 1,2,February
20200301,20200301,2020-03-01,202003,Qtr 1,3,March
20200302,20200302,2020-03-02,202003,Qtr 1,3,March
20200303,20200303,2020-03-03,202003,Qtr 1,3,March
20200304,20200304,2020-03-04,202003,Qtr 1,3,March
20200305,20200305,2020-03-05,202003,Qtr 1,3,March
20200306,20200306,2020-03-06,202003,Qtr 1,3,March
20200307,20200307,2020-03-07,202003,Qtr 1,3,March
20200308,20200308,2020-03-08,202003,Qtr 1,3,March
20200309,20200309,2020-03-09,202003,Qtr 1,3,March
20200310,20200310,2020-03-10,202003,Qtr 1,3,March
20200311,20200311,2020-03-11,202003,Qtr 1,3,March
20200312,20200312,2020-03-12,202003,Qtr 1,3,March
20200313,20200313,2020-03-13,202003,Qtr 1,3,March
20200314,20200314,2020-03-14,202003,Qtr 1,3,March
20200315,20200315,2020-03-15,202003,Qtr 1,3,March
20200316,20200316,2020-03-16,202003,Qtr 1,3,March
20200317,20200317,2020-03-17,202003,Qtr 1,3,March
20200318,20200318,2020-03-18,202003,Qtr 1,3,March
20200319,20200319,2020-03-19,202003,Qtr 1,3,March
20200320,20200320,2020-03-20,202003,Qtr 1,3,March
20200321,20200321,2020-03-21,202003,Qtr 1,3,March
20200322,20200322,2020-03-22,202003,Qtr 1,3,March
20200323,20200323,2020-03-23,202003,Qtr 1,3,March
20200324,20200324,2020-03-24,202003,Qtr 1,3,March
20200325,20200325,2020-03-25,202003,Qtr 1,3,March
20200326,20200326,2020-03-26,202003,Qtr 1,3,March
20200327,20200327,2020-03-27,202003,Qtr 1,3,March
20200328,20200328,2020-03-28,202003,Qtr 1,3,March
20200329,20200329,2020-03-29,202003,Qtr 1,3,March
20200330,20200330,2020-03-30,202003,Qtr 1,3,March
20200331,20200331,2020-03-31,202003,Qtr 1,3,March
20200401,20200401,2020-04-01,202004,Qtr 1,4,April
20200402,20200402,2020-04-02,202004,Qtr 1,4,April
20200403,20200403,2020-04-03,202004,Qtr 1,4,April
20200404,20200404,2020-04-04,202004,Qtr 1,4,April
20200405,20200405,2020-04-05,202004,Qtr 1,4,April
20200406,20200406,2020-04-06,202004,Qtr 1,4,April
20200407,20200407,2020-04-07,202004,Qtr 1,4,April
20200408,20200408,2020-04-08,202004,Qtr 1,4,April
20200409,20200409,2020-04-09,202004,Qtr 1,4,April
20200410,20200410,2020-04-10,202004,Qtr 1,4,April
20200411,20200411,2020-04-11,202004,Qtr 1,4,April
20200412,20200412,2020-04-12,202004,Qtr 1,4,April
20200413,20200413,2020-04-13,202004,Qtr 1,4,April
20200414,20200414,2020-04-14,202004,Qtr 1,4,April
20200415,20200415,2020-04-15,202004,Qtr 1,4,April
20200416,20200416,2020-04-16,202004,Qtr 1,4,April
20200417,20200417,2020-04-17,202004,Qtr 1,4,April
20200418,20200418,2020-04-18,202004,Qtr 1,4,April
20200419,20200419,2020-04-19,202004,Qtr 1,4,April
20200420,20200420,2020-04-20,202004,Qtr 1,4,April
20200421,20200421,2020-04-21,202004,Qtr 1,4,April
20200422,20200422,2020-04-22,202004,Qtr 1,4,April
20200423,20200423,2020-04-23,202004,Qtr 1,4,April
20200424,20200424,2020-04-24,202004,Qtr 1,4,April
20200425,20200425,2020-04-25,202004,Qtr 1,4,April
20200426,20200426,2020-04-26,202004,Qtr 1,4,April
20200427,20200427,2020-04-27,202004,Qtr 1,4,April
20200428,20200428,2020-04-28,202004,Qtr 1,4,April
20200429,20200429,2020-04-29,202004,Qtr 1,4,April
20200430,20200430,2020-04-30,202004,Qtr 1,4,April
20200501,20200501,2020-05-01,202005,Qtr 2,5,May
20200502,20200502,2020-05-02,202005,Qtr 2,5,May
20200503,20200503,2020-05-03,202005,Qtr 2,5,May
20200504,20200504,2020-05-04,202005,Qtr 2,5,May
20200505,20200505,2020-05-05,202005,Qtr 2,5,May
20200506,20200506,2020-05-06,202005,Qtr 2,5,May
20200507,20200507,2020-05-07,202005,Qtr 2,5,May
20200508,20200508,2020-05-08,202005,Qtr 2,5,May
20200509,20200509,2020-05-09,202005,Qtr 2,5,May
20200510,20200510,2020-05-10,202005,Qtr 2,5,May
20200511,20200511,2020-05-11,202005,Qtr 2,5,May
